ID;Study;Experiment;Condition;Stimulus;N;Trials
01;Abreo et al. (2023);Experiment 1;1;Orientation;36;6334
02;Blonde et al. (2023);Experiment 2;1;Orientation;17;2228
03;Ceylan & Pascucci (2023);Experiment 2;1;Orientation;20;5822
04;Ceylan et al. (2021);Experiment 1;0;Orientation;24;4646
05;Ceylan et al. (2021);Experiment 1;1;Orientation;24;4667
06;Ceylan et al. (2021);Experiment 2;0;Orientation;24;4668
07;Ceylan et al. (2021);Experiment 2;1;Orientation;24;4681
08;Chetverikov & Jehee (2023);Experiment 1;1;Motion;18;3865
09;Chetverikov & Jehee (2023);Experiment 1;2;Motion;18;13989
10;Cicchini et al. (2018);Experiment 2;1;Orientation;6;11832
11;Fischer & Whitney (2014);Experiment 1b;1;Orientation;4;3197
12;Fischer et al. (2020);Experiment 1;1;Motion;20;30755
13;Fischer et al. (2020);Experiment 2;1;Motion;49;75956
14;Fischer et al. (2020);Experiment 3;1;Motion;20;30192
15;Fischer et al. (2020);Experiment 4;1;Motion;20;27682
16;Fritsche & deLange (2019);Experiment 1;0;Orientation;34;9542
17;Fritsche & deLange (2019);Experiment 1;1;Orientation;34;9547
18;Fritsche et al. (2020);Experiment 1;1;Orientation;23;9083
19;Fritsche et al. (2020);Experiment 1;2;Orientation;23;9137
20;Fritsche et al. (2020);Experiment 2;0;Orientation;24;9385
21;Fritsche et al. (2020);Experiment 2;1;Orientation;24;9365
22;Fritsche et al. (2020);Experiment 3;1;Orientation;24;14083
23;Fritsche et al. (2020);Experiment 3;2;Orientation;24;14144
24;Gallagher & Benton (2022);Experiment 1;0.5;Orientation;20;7874
25;Gallagher & Benton (2022);Experiment 1;4;Orientation;20;8025
26;Geurts et al. (2022);Experiment 1;0;Orientation;32;14854
27;Houborg et al. (2023);Experiment 1;1;Orientation;15;2835
28;Houborg et al. (2023);Experiment 2;1;Orientation;16;3017
29;Houborg et al. (2023b);Experiment 1;1;Orientation;14;13602
30;Houborg et al. (2023b);Experiment 2;1;Orientation;18;17566
31;Kondo et al. (2022);Experiment 1;1;Orientation;20;19184
32;Kondo et al. (2022);Experiment 2;1;Orientation;20;19386
33;Kondo et al. (2022);Experiment 3;1;Orientation;20;19283
34;Kondo et al. (2022);Experiment 4;1;Orientation;16;15381
35;Lau & Maus (2019);Experiment 1;1;Orientation;29;13732
36;Moon & Kwon (2022);Experiment 1;1;Motion;8;12786
37;Moon et al. (2023);Experiment 1;1;Motion;8;12847
38;Moon et al. (2023);Experiment 2;1;Motion;8;12786
39;Moon et al. (2023);Experiment 3;1;Motion;8;12871
40;Ozkirli & Pascucci (2023);Experiment 1;0;Orientation;16;3109
41;Ozkirli & Pascucci (2023);Experiment 1;1;Orientation;16;3101
42;Ozkirli & Pascucci (2023);Experiment 2;0;Orientation;16;3097
43;Ozkirli & Pascucci (2023);Experiment 2;1;Orientation;16;3095
44;Ozkirli & Pascucci (2023);Experiment 3;0;Orientation;24;4605
45;Ozkirli & Pascucci (2023);Experiment 3;1;Orientation;24;4615
46;Pascucci et al. (2024);Experiment 1;1;Orientation;26;13512
47;Sadil et al. (2022);Experiment 1;1;Orientation;16;23537
48;Samaha et al. (2019);Experiment 1;0;Orientation;20;2731
49;Samaha et al. (2019);Experiment 1;1;Orientation;20;2770
